category,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66
coffee,13359.1,13359.6,14371.1,14362.7,14363.6,10270.1,10269.5,10272.9,12433.6,12435.2,12433.2,12631.1,12630.7,12627.4,18795.5,18793.5,22389.2,22381.5,5424.6,5423.1,5423.8,3328.3,3328.9,3330.2,12479.9,12480.1,12478.3,40296.7,40297.5,40280.4,15379.2,15373.1,33818.1,33822.4,35278.7,35259.0,35220.4,53942.0,54039.9,54117.6,66873.1,66869.0,66813.8,35410.4,35425.5,35435.0,88413.1,88397.4,1747999.8,1709600.4,28965.4,28959.1,28976.5,13019.0,13020.5,13020.5,1092.6,1092.6,1092.5,2935.4,2936.7,2938.1,24688.0,24704.4,28.080000,48.090000
coffee,13355.5,13354.3,14373.1,14363.8,14358.7,10280.9,10279.4,10279.6,12435.2,12434.6,12431.8,12629.5,12626.2,12626.5,18797.1,18799.8,22409.5,22377.1,5426.1,5425.9,5425.1,3329.3,3329.2,3330.2,12479.7,12480.1,12475.9,40314.9,40304.2,40340.9,15379.9,15380.3,33817.2,33791.8,35203.9,35237.1,35170.2,53939.6,54025.9,54050.0,66957.1,66851.3,66669.5,35435.7,35424.9,35478.7,88336.3,88388.8,1693070.4,1658406.1,28974.3,28974.5,28961.0,13018.6,13016.1,13019.9,1092.6,1092.5,1092.5,2935.6,2937.0,2939.2,24699.2,24692.9,28.090000,48.080002
coffee,13353.2,13356.2,14344.7,14340.0,14344.1,10265.1,10263.2,10266.6,12425.5,12428.1,12423.5,12623.4,12626.8,12625.1,18806.5,18801.1,22416.9,22379.2,5424.8,5424.1,5424.2,3329.7,3329.6,3330.6,12482.1,12479.8,12478.7,40288.8,40340.4,40312.3,15383.8,15378.3,33830.7,33815.5,35229.8,35257.0,35251.3,54098.9,54234.4,54286.2,66898.4,67043.6,67281.4,35418.1,35406.5,35444.6,88343.5,88289.8,1750827.0,1694515.9,28970.4,28973.1,28972.7,13019.5,13012.8,13018.7,1092.6,1092.5,1092.5,2935.8,2937.5,2938.8,24702.0,24718.0,28.100000,48.040001
coffee,13354.0,13358.1,14338.3,14338.6,14351.8,10244.1,10240.1,10245.2,12430.2,12424.7,12420.3,12617.4,12619.3,12616.6,18786.6,18791.4,22418.0,22395.2,5425.2,5424.2,5424.3,3331.1,3331.0,3332.8,12481.8,12480.5,12476.8,40263.9,40292.2,40281.0,15378.1,15379.0,33833.4,33820.4,35107.8,35170.9,35179.6,54177.1,54139.8,54279.5,66885.2,66813.8,66708.4,35353.8,35376.9,35382.0,88374.4,88468.4,1727708.9,1677565.5,28976.7,28971.8,28964.2,13020.0,13018.6,13014.5,1092.6,1092.6,1092.5,2936.4,2937.7,2939.3,24691.9,24713.8,28.090000,48.169998
coffee,13359.7,13352.3,14344.7,14350.6,14362.5,10267.8,10270.4,10270.4,12432.5,12430.2,12429.7,12639.0,12638.9,12637.2,18798.0,18796.1,22424.7,22384.3,5425.3,5424.9,5424.6,3332.2,3332.5,3333.4,12517.1,12515.6,12514.5,40427.0,40432.4,40432.9,15385.9,15384.4,33871.4,33848.9,35318.7,35274.8,35337.0,54181.3,54221.8,54282.5,67248.7,67256.3,67254.1,35701.1,35702.1,35725.2,88634.5,88772.8,1785750.0,1742882.5,28983.7,28999.0,28981.1,13018.0,13016.7,13015.0,1092.6,1092.5,1092.5,2936.4,2938.1,2939.6,24704.5,24705.0,28.100000,48.410000
coffee,13352.8,13349.5,14328.1,14318.4,14312.3,10200.6,10197.6,10197.7,12417.5,12417.9,12419.4,12607.2,12607.4,12606.5,18796.0,18792.6,22418.7,22389.9,5425.2,5424.2,5425.6,3331.3,3331.5,3332.7,12520.9,12516.2,12517.7,40406.4,40406.4,40370.4,15379.7,15380.9,33834.0,33850.0,35297.8,35336.3,35236.9,54160.6,54050.5,54061.5,66987.3,66985.8,66956.4,35565.0,35546.1,35585.9,88201.4,88409.2,1733494.1,1749540.9,28980.1,28990.0,28994.4,13013.9,13017.5,13017.2,1092.6,1092.6,1092.5,2936.0,2937.7,2939.1,24694.9,24706.5,28.080000,48.340000
coffee,13346.3,13349.3,14306.3,14309.0,14306.2,10130.2,10132.0,10140.4,12423.8,12420.6,12419.9,12609.1,12608.8,12606.2,18798.0,18802.7,22417.5,22388.1,5426.4,5425.9,5425.7,3332.2,3332.5,3333.9,12522.8,12525.8,12520.6,40395.0,40422.5,40432.6,15382.2,15384.3,33841.7,33846.9,35302.6,35332.9,35278.9,54192.9,54253.3,54270.4,67176.5,67073.1,67185.6,35633.9,35675.3,35684.7,88402.6,88722.4,1717739.2,1768772.8,28993.1,28997.5,29007.5,13021.0,13019.4,13015.4,1092.6,1092.5,1092.6,2937.0,2938.5,2940.0,24696.6,24708.7,28.100000,48.490002
coffee,13352.4,13351.8,14331.6,14331.4,14325.6,10215.3,10217.1,10222.3,12422.0,12427.5,12425.8,12641.8,12638.5,12637.5,18801.4,18796.9,22422.5,22382.0,5427.3,5427.9,5428.0,3334.2,3334.3,3335.4,12529.8,12526.6,12526.3,40434.8,40405.8,40399.9,15385.6,15385.8,33825.7,33853.6,35312.1,35327.1,35348.0,54168.0,54142.3,54225.8,67085.6,67112.8,67076.1,35685.0,35705.3,35728.0,88577.7,88545.4,1710582.8,1760144.4,28989.1,29014.6,28985.6,13015.9,13021.3,13020.7,1092.6,1092.6,1092.6,2937.9,2939.5,2940.9,24704.8,24709.6,28.090000,48.740002
coffee,13351.6,13351.6,14304.4,14304.0,14303.7,10201.2,10198.0,10198.7,12418.9,12419.1,12417.9,12618.3,12622.5,12621.2,18805.7,18793.9,22423.3,22394.6,5427.6,5426.3,5428.3,3333.6,3333.4,3334.7,12537.1,12536.5,12535.8,40458.0,40461.7,40451.5,15389.1,15380.8,33838.0,33839.4,35273.6,35363.9,35340.0,54167.0,54185.2,54227.3,67133.7,67115.1,67121.2,35683.9,35756.5,35751.5,88665.5,88421.0,1714030.1,1699595.4,28977.4,28996.9,29002.1,13030.0,13020.7,13018.2,1092.6,1092.6,1092.6,2937.4,2938.8,2940.5,24704.5,24708.0,28.080000,48.480000
coffee,13339.0,13339.3,14268.7,14269.1,14263.9,10058.8,10058.1,10059.1,12409.2,12412.7,12408.7,12579.6,12579.0,12582.0,18784.6,18786.1,22425.2,22387.3,5428.3,5427.2,5428.2,3334.5,3334.6,3335.9,12532.1,12534.9,12532.9,40424.8,40396.1,40419.7,15379.0,15377.5,33821.0,33836.8,35418.5,35343.9,35322.6,54207.0,54214.2,54177.6,67144.7,67151.5,67060.6,35651.2,35664.6,35679.9,88300.2,88558.6,1701538.2,1737034.6,28972.8,28996.4,28999.7,13018.9,13016.0,13017.1,1092.6,1092.6,1092.5,2937.7,2939.2,2940.8,24712.6,24716.8,28.090000,48.439999
